LotID,Agency,Area,Development,LotType,OBJECTID,LU_DESC,LU_TEXT,LU_DT_DESC,GPR,GPR_NUM,WHI_Q_MX,GPR_B_MN,REGION_N,PLN_AREA_N,SUBZONE_NO,SUBZONE_N,CREATE_BY,CREATE_DT,LST_MDF_BY,LST_MDF_DT,SYSTEM_ID,SHAPE_Length,SHAPE_Area,n_lots,Latitude,Longitude,nearest_temperature_station,nearest_rainfall_station,nearest_windspeed_station,nearest_weatherforecast_station
A10,HDB,,BLK 201/202 ANG MO KIO STREET 22,C,96662.0,RESIDENTIAL, ,PUBLIC HOUSING - NON-LANDED,2.8,2.8000000000000003,,,NORTH-EAST REGION,ANG MO KIO,5.0,SHANGRI-LA,KOH SOK TIANG,1398769447000.0,Koh Sok Tiang,1571135711000.0,180718-105080,983.107508083959,22261.57850355837,50.0,1.368632982,103.844524,S115,S115,S115,Tuas
A100,HDB,,BLK 650 ANG MO KIO STREET 61,C,89869.0,RESIDENTIAL, ,PUBLIC HOUSING - NON-LANDED,3.5,3.5,,,NORTH-EAST REGION,ANG MO KIO,9.0,YIO CHU KANG WEST,KOH SOK TIANG,1294760559000.0,Koh Sok Tiang,1571135709000.0,180718-96915,292.34874739515567,5067.062768278764,56.0,1.377987473,103.8426025,S115,S115,S115,Tuas
A11,HDB,,BLK 223/226/226A-226D ANG MO KIO ST 22,C,108839.0,RESIDENTIAL, ,,2.8,2.8000000000000003,,,NORTH-EAST REGION,ANG MO KIO,5.0,SHANGRI-LA,"CHAN SI XIAN, SERENE",1191314048000.0,Koh Sok Tiang,1571135713000.0,180718-56936,2807.7007588779966,128842.0052511994,255.66666666666663,1.367035534,103.8381811,S115,S115,S115,Pulau Tekong
A12,HDB,,BLK 229/230 ANG MO KIO ST 22,C,108768.0,RESIDENTIAL, ,,2.8,2.8000000000000003,,,NORTH-EAST REGION,ANG MO KIO,5.0,SHANGRI-LA,Koh Sok Tiang,1537294987000.0,Koh Sok Tiang,1571135713000.0,180918-764027445716,1636.120563346202,51939.00662652995,164.0,1.368509827,103.8386753,S115,S115,S115,Pulau Tekong
A13,HDB,,BLK 232/233 ANG MO KIO ST 22,C,108768.0,RESIDENTIAL, ,,2.8,2.8000000000000003,,,NORTH-EAST REGION,ANG MO KIO,5.0,SHANGRI-LA,Koh Sok Tiang,1537294987000.0,Koh Sok Tiang,1571135713000.0,180918-764027445716,1636.120563346202,51939.00662652995,141.66666666666666,1.368000222,103.8368096,S115,S115,S115,Pulau Tekong
A15,HDB,,BLK 226E-226H ANG MO KIO ST 22,C,108839.0,RESIDENTIAL, ,,2.8,2.8000000000000003,,,NORTH-EAST REGION,ANG MO KIO,5.0,SHANGRI-LA,"CHAN SI XIAN, SERENE",1191314048000.0,Koh Sok Tiang,1571135713000.0,180718-56936,2807.7007588779966,128842.0052511994,59.0,1.36696761,103.8404175,S115,S115,S115,Tuas
A2,HDB,,BLK 206/207 ANG MO KIO STREET 22,C,108839.0,RESIDENTIAL, ,,2.8,2.8000000000000003,,,NORTH-EAST REGION,ANG MO KIO,5.0,SHANGRI-LA,"CHAN SI XIAN, SERENE",1191314048000.0,Koh Sok Tiang,1571135713000.0,180718-56936,2807.7007588779966,128842.0052511994,188.0,1.366237056,103.8430464,S115,S115,S115,Tuas
A21,HDB,,BLK 325/326/301 ANG MO KIO STREET 31,C,108765.0,RESIDENTIAL, ,,2.8,2.8000000000000003,,,NORTH-EAST REGION,ANG MO KIO,4.0,TOWNSVILLE,KOH SOK TIANG,1224180290000.0,Koh Sok Tiang,1571135713000.0,180718-93703,2412.8378462283654,144046.2307199621,473.6666666666667,1.368127559,103.8463132,S115,S115,S115,Tuas
A24,HDB,,BLK 338/340 ANG MO KIO ST 32,C,108764.0,COMMERCIAL & RESIDENTIAL, ,COMMERCIAL & RESIDENTIAL - PUBLIC HOUSING,EVA,,,,NORTH-EAST REGION,ANG MO KIO,4.0,TOWNSVILLE,ZAMRI BIN HASAN,1194321990000.0,Koh Sok Tiang,1571135602000.0,180718-68080,850.5992857560407,31294.151045143462,161.0,1.364753412,103.8493977,S115,S115,S115,Tuas
A25,HDB,,BLK 330/337 ANG MO KIO AVE 8,C,63463.0,RESIDENTIAL, ,PUBLIC HOUSING - NON-LANDED,3.5,3.5,,,NORTH-EAST REGION,ANG MO KIO,4.0,TOWNSVILLE,ZAMRI BIN HASAN,1194321985000.0,Koh Sok Tiang,1571135708000.0,180718-68069,1124.3406572421422,62599.0866750359,419.0,1.362769307,103.8516275,S115,S115,S115,Tuas
